case_id,basis_type,site_id,source_policy,oa_ratio,stage_count,Li_feed_mg_L,Na_feed_mg_L,K_feed_mg_L,Mg_feed_mg_L,Ca_feed_mg_L,Sr_feed_mg_L,Ba_feed_mg_L,Cl_feed_mg_L,Br_feed_mg_L,SO4_feed_mg_L,B_feed_mg_L,TDS_mg_L,one_stage_Li_extraction_pct,one_stage_Na_extraction_pct,one_stage_D_Li,one_stage_S_Li_Na,three_stage_Li_cumulative_pct,three_stage_Na_cumulative_pct,three_stage_D_Li_final,three_stage_S_Li_Na_final,HBTA_consumed_mol_L_org_stage3,TOPO_consumed_mol_L_org_stage3,gamma_source_stage3,trust_label,model_status
smackover_clean_min_observed,observed_clean_usgs_row,SH-2,reported_source_row,0.5,3,11.7,37100.0,351.0,2250.0,13900.0,907.0,7.47,89100.0,1650.0,207.0,47.5,156000.0,80.66586527206651,0.03695265861738211,8.344398795930848,11286.488754568876,99.99999936795965,0.12770409139840622,1999998.0000937127,2150575885.0323377,4.262169860642406e-05,2.131084930321203e-05,epcsaft_from_local_runtime_params,outside_literature_capacity_envelope_near_total_transfer,calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
smackover_clean_min_observed,observed_clean_usgs_row,SH-2,reported_source_row,1.0,3,11.7,37100.0,351.0,2250.0,13900.0,907.0,7.47,89100.0,1650.0,207.0,47.5,156000.0,99.99989999999998,0.08121677425205567,999998.9999084531,1230271507.5548375,100.0,0.2671826894682594,999998.9999885303,1073132906.3621315,3.3717545536368495e-15,1.6858772768184248e-15,epcsaft_from_local_runtime_params,outside_literature_capacity_envelope_near_total_transfer,calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
smackover_clean_min_observed,observed_clean_usgs_row,SH-2,reported_source_row,1.5,3,11.7,37100.0,351.0,2250.0,13900.0,907.0,7.47,89100.0,1650.0,207.0,47.5,156000.0,99.99989999999998,0.12778572837972657,666665.9999389687,781559221.4921231,100.0,0.406523388509028,666665.9999923536,715144401.9921155,2.247836369091233e-15,1.1239181845456166e-15,epcsaft_from_local_runtime_params,outside_literature_capacity_envelope_near_total_transfer,calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
smackover_clean_median_tds_proxy,observed_clean_usgs_row,MS-2,reported_source_row,0.5,3,168.0,64100.0,2300.0,3310.0,36900.0,1940.0,8.39,174000.0,2700.0,184.0,163.0,305000.0,23.6423042926127,0.006555902937429499,0.6192513818964133,4722.543868378743,67.58576054616722,0.02578672794788517,1.3097393178064578,5963.178562401846,0.020554196686087385,0.010277098343043693,epcsaft_from_local_runtime_params,calibrated_reactive_extrapolated_to_smackover,calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
smackover_clean_median_tds_proxy,observed_clean_usgs_row,MS-2,reported_source_row,1.0,3,168.0,64100.0,2300.0,3310.0,36900.0,1940.0,8.39,174000.0,2700.0,184.0,163.0,305000.0,47.2846085852254,0.013111805874858998,0.8969791803911921,6840.107142998455,99.99998957530654,0.11600192736928028,999998.999945047,1238761355.332831,0.005047108787114212,0.002523554393557106,epcsaft_from_local_runtime_params,outside_literature_capacity_envelope_near_total_transfer,calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
smackover_clean_median_tds_proxy,observed_clean_usgs_row,MS-2,reported_source_row,1.5,3,168.0,64100.0,2300.0,3310.0,36900.0,1940.0,8.39,174000.0,2700.0,184.0,163.0,305000.0,70.9269128778381,0.019667708812288496,1.626404804778409,12401.685501881964,99.99999999997092,0.26548984206511417,666665.9999857432,667474906.1601689,9.383811244126295e-09,4.691905622063147e-09,epcsaft_from_local_runtime_params,outside_literature_capacity_envelope_near_total_transfer,calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
smackover_clean_high_tds_high_li,observed_clean_usgs_row,BR-2,reported_source_row,0.5,3,252.0,70800.0,3160.0,3130.0,39900.0,2490.0,26.1,193000.0,5510.0,140.0,212.0,340000.0,16.6472033052823,0.004184871602930317,0.39943958608259333,4772.223713734752,49.0184057879482,0.015132155194086394,0.6274668900527834,5222.179560085544,0.023231395150670374,0.011615697575335187,epcsaft_from_local_runtime_params,calibrated_reactive_extrapolated_to_smackover,calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
smackover_clean_high_tds_high_li,observed_clean_usgs_row,BR-2,reported_source_row,1.0,3,252.0,70800.0,3160.0,3130.0,39900.0,2490.0,26.1,193000.0,5510.0,140.0,212.0,340000.0,33.2944066105646,0.008369743205860635,0.4991246598495539,5962.941420326744,94.08202274324415,0.04130513126964219,4.868846127024769,23309.96858515065,0.020925238048665272,0.010462619024332636,epcsaft_from_local_runtime_params,calibrated_reactive_extrapolated_to_smackover,calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
smackover_clean_high_tds_high_li,observed_clean_usgs_row,BR-2,reported_source_row,1.5,3,252.0,70800.0,3160.0,3130.0,39900.0,2490.0,26.1,193000.0,5510.0,140.0,212.0,340000.0,49.94160991584689,0.01255461480879096,0.6651114139826191,7945.619064404273,99.99999607484673,0.17677952370079852,666665.9999340988,707777859.2928486,0.0019003604903370106,0.0009501802451685053,epcsaft_from_local_runtime_params,outside_literature_capacity_envelope_near_total_transfer,calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
smackover_pitch_low,screening_case,not_applicable,base_major_ions_scaled_to_tds,0.5,3,100.0,32785.5737704918,1176.3934426229507,1692.983606557377,18873.442622950817,992.2622950819672,4.29127868852459,88996.7213114754,1380.983606557377,94.11147540983606,83.37049180327868,156000.0,30.495515489971638,0.015377312057530061,0.8775121693211502,2852.8302874197416,78.20597552151507,0.05949794890879323,1.937447410103599,3900.6210367883277,0.01216852342408503,0.006084261712042515,epcsaft_from_local_runtime_params,extrapolative_scaling_major_ions,calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
smackover_pitch_low,screening_case,not_applicable,base_major_ions_scaled_to_tds,1.0,3,100.0,32785.5737704918,1176.3934426229507,1692.983606557377,18873.442622950817,992.2622950819672,4.29127868852459,88996.7213114754,1380.983606557377,94.11147540983606,83.37049180327868,156000.0,60.991030979943275,0.030754624115060122,1.5635130205205965,5082.267180767621,99.99999999996099,0.17575013228287029,999999.0000037485,1083726148.7908468,1.1241766574154015e-08,5.620883287077007e-09,epcsaft_from_local_runtime_params,outside_literature_capacity_envelope_near_total_transfer,calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
smackover_pitch_low,screening_case,not_applicable,base_major_ions_scaled_to_tds,1.5,3,100.0,32785.5737704918,1176.3934426229507,1692.983606557377,18873.442622950817,992.2622950819672,4.29127868852459,88996.7213114754,1380.983606557377,94.11147540983606,83.37049180327868,156000.0,91.48654646991491,0.04613193617259018,7.164076336872148,23283.56016629881,99.99999999999149,0.3138310355304319,666666.0000301008,722201509.2799237,1.6356282453275275e-09,8.178141226637638e-10,epcsaft_from_local_runtime_params,outside_literature_capacity_envelope_near_total_transfer,calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
smackover_pitch_base,screening_case,not_applicable,base_major_ions_scaled_to_tds,0.5,3,200.0,64100.0,2300.0,3310.0,36900.0,1940.0,8.39,174000.0,2700.0,184.0,163.0,305000.0,20.286726724191745,0.005624144751932091,0.5089924397910391,4524.810755845161,58.872100392791204,0.021207035717474287,0.9174093170918312,5257.650670993315,0.021747042243268476,0.010873521121634238,epcsaft_from_local_runtime_params,extrapolative_scaling_major_ions,calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
smackover_pitch_base,screening_case,not_applicable,base_major_ions_scaled_to_tds,1.0,3,200.0,64100.0,2300.0,3310.0,36900.0,1940.0,8.39,174000.0,2700.0,184.0,163.0,305000.0,40.57345344838349,0.011248289503864181,0.6827496430932989,6069.125845332618,99.9999782417408,0.08112369527375485,999998.9999459486,1910755608.5461454,0.012540770854655952,0.006270385427327976,epcsaft_from_local_runtime_params,outside_literature_capacity_envelope_near_total_transfer,calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
smackover_pitch_base,screening_case,not_applicable,base_major_ions_scaled_to_tds,1.5,3,200.0,64100.0,2300.0,3310.0,36900.0,1940.0,8.39,174000.0,2700.0,184.0,163.0,305000.0,60.86018017257522,0.016872434255796286,1.0366285186615543,9214.321998382131,99.99999999996086,0.23064868236418734,666666.0000020902,667448653.1141331,1.5039300936128008e-08,7.519650468064004e-09,epcsaft_from_local_runtime_params,outside_literature_capacity_envelope_near_total_transfer,calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
smackover_pitch_high,screening_case,not_applicable,base_major_ions_scaled_to_tds,0.5,3,400.0,71455.73770491802,2563.934426229508,3689.83606557377,41134.42622950819,2162.622950819672,9.352786885245902,193967.2131147541,3009.83606557377,205.11475409836063,181.70491803278688,340000.0,10.82456556314599,0.002694726992649767,0.24277012232132092,4504.418833363736,32.24778436742118,0.009086685662218486,0.3149178714315653,4646.244072138523,0.02459525479168201,0.012297627395841004,epcsaft_from_local_runtime_params,extrapolative_scaling_major_ions,calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
smackover_pitch_high,screening_case,not_applicable,base_major_ions_scaled_to_tds,1.0,3,400.0,71455.73770491802,2563.934426229508,3689.83606557377,41134.42622950819,2162.622950819672,9.352786885245902,193967.2131147541,3009.83606557377,205.11475409836063,181.70491803278688,340000.0,21.64913112629198,0.005389453985299534,0.2763100325177979,5126.588735507735,63.797529807233865,0.021270811854723348,0.5749132043446782,6317.4647190051965,0.02399225146249669,0.011996125731248345,epcsaft_from_local_runtime_params,extrapolative_scaling_major_ions,calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
smackover_pitch_high,screening_case,not_applicable,base_major_ions_scaled_to_tds,1.5,3,400.0,71455.73770491802,2563.934426229508,3689.83606557377,41134.42622950819,2162.622950819672,9.352786885245902,193967.2131147541,3009.83606557377,205.11475409836063,181.70491803278688,340000.0,32.47369668943797,0.008084180977949313,0.32060293641019977,5948.228135225137,93.78543181303054,0.04038489168527448,3.1806034149838034,23130.946334218588,0.02278510293731961,0.011392551468659804,epcsaft_from_local_runtime_params,extrapolative_scaling_major_ions,calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
